"time","wheel.vT","wheel.wR","wheel.den","wheel.contactPoint_a.slip"
4.36,13.549375504985594,41.397887357729736,13.549375504985594,-0.08339936384897426
4.38,13.385744760356982,40.89788735772974,13.385744760356982,-0.08340055581698441
4.4,13.222111801177725,40.39788735772973,13.222111801177725,-0.08340162376789025
4.42,13.058476858579452,39.89788735772974,13.058476858579452,-0.08340257926367434
4.44,12.894840143177579,39.39788735772973,12.894840143177579,-0.08340343299468306
4.46,12.731201844400408,38.89788735772974,12.731201844400408,-0.08340419467534514
4.48,12.567562134427064,38.397887357729736,12.567562134427064,-0.08340487326788368
4.5,12.403921167733662,37.89788735772974,12.403921167733662,-0.08340547689918644
4.52,12.240279084334155,37.39788735772975,12.240279084334155,-0.08340601304768083
4.54,12.076636009545314,36.897887357729736,12.076636009545314,-0.08340648848158158
4.56,11.912992056587877,36.397887357729736,11.912992056587877,-0.0834069094102586
4.58,11.74934732656792,35.89788735772973,11.74934732656792,-0.08340728144388433
4.6,11.58570191049597,35.397887357729736,11.58570191049597,-0.08340760971086318
4.62,11.422055889478196,34.89788735772973,11.422055889478196,-0.08340789883867399
4.64,11.258409336208908,34.397887357729736,11.258409336208908,-0.08340815303897951
4.66,11.094762315360219,33.89788735772973,11.094762315360219,-0.08340837610916012
4.68,10.931114884604687,33.39788735772974,10.931114884604687,-0.08340857148705533
4.7,10.767467095186786,32.897887357729736,10.767467095186786,-0.08340874227229632
4.72,10.603818992531012,32.39788735772974,10.603818992531012,-0.08340889125277133
4.74,10.44017061697545,31.897887357729733,10.44017061697545,-0.08340902094460266
4.76,10.27652200402011,31.39788735772974,10.27652200402011,-0.08340913359265666
4.78,10.112873185200183,30.89788735772973,10.112873185200183,-0.0834092312277489
4.8,9.94922418802682,30.39788735772974,9.94922418802682,-0.08340931564358278
4.82,9.785575036971009,29.89788735772973,9.785575036971009,-0.08340938846908448
4.84,9.621925753176042,29.397887357729743,9.621925753176042,-0.08340945112699569
4.86,9.45827635546157,28.89788735772973,9.45827635546157,-0.08340950491334552
4.88,9.294626859954052,28.39788735772974,9.294626859954052,-0.08340955094984455
4.9,9.13097728097755,27.897887357729726,9.13097728097755,-0.08340959025769212
4.92,8.96732763072315,27.39788735772974,8.96732763072315,-0.08340962371460824
4.94,8.803677919987985,26.897887357729726,8.803677919987985,-0.08340965211844881
4.96,8.640028157895655,26.39788735772974,8.640028157895655,-0.08340967614997406
4.98,8.47637835250008,25.897887357729726,8.47637835250008,-0.08340969642685088
5,8.312728510556326,25.397887357729736,8.312728510556326,-0.08340971347216565
5.02,8.149078638004493,24.89788735772974,8.149078638004493,-0.08340972775936002
5.04,7.9854287397884605,24.39788735772973,7.9854287397884605,-0.0834097396863361
5.06,7.821778820235641,23.89788735772974,7.821778820235641,-0.08340974961205364
5.08,7.658128882920321,23.39788735772973,7.658128882920321,-0.08340975783601853
5.1,7.494478930931365,22.89788735772974,7.494478930931365,-0.08340976462452454
5.12,7.3308289667350355,22.397887357729733,7.3308289667350355,-0.08340977018980243
5.14,7.16717899249058,21.89788735772975,7.16717899249058,-0.08340977472419958
5.16,7.003529010013695,21.39788735772975,7.003529010013695,-0.083409778393083
5.18,6.839879020825449,20.897887357729765,6.839879020825449,-0.08340978133816018
5.2,6.676229026270759,20.397887357729754,6.676229026270759,-0.08340978369085225
5.22,6.512579027659937,19.89788735772977,6.512579027659937,-0.08340978559091532
5.24,6.348929026130341,19.397887357729733,6.348929026130341,-0.08340978716755135
5.26,6.185279021375529,18.89788735772973,6.185279021375529,-0.08340978834967386
5.28,6.021629014426677,18.397887357729708,6.021629014426677,-0.0834097892620815
5.3,5.857979005762387,17.897887357729722,5.857979005762387,-0.08340978995705373
5.32,5.694328995800873,17.397887357729708,5.694328995800873,-0.08340979048316481
5.34,5.530678984952667,16.89788735772972,5.530678984952667,-0.08340979089345928
5.36,5.367028973666275,16.39788735772971,5.367028973666275,-0.08340979125394185
5.38,5.203378962330781,15.897887357729736,5.203378962330781,-0.08340979162844796
5.4,5.039728950497081,15.397887357729736,5.039728950497081,-0.0834097919366674
5.42,4.8760789384849605,14.897887357729754,4.8760789384849605,-0.08340979223203537
5.44,4.712428926261971,14.397887357729749,4.712428926261971,-0.08340979250690474
5.46,4.5487789137158545,13.897887357729756,4.5487789137158545,-0.08340979273643996
5.48,4.385128901094598,13.39788735772974,4.385128901094598,-0.08340979296740307
5.5,4.221478888487987,12.897887357729745,4.221478888487987,-0.0834097932194516
5.52,4.057828875585131,12.39788735772975,4.057828875585131,-0.08340979342491384
5.54,3.8941788622156475,11.897887357729727,3.8941788622156475,-0.08340979353781472
5.56,3.7305288481951946,11.39788735772973,3.7305288481951946,-0.08340979350067604
5.58,3.566878834798635,10.89788735772971,3.566878834798635,-0.08340979362045473
